country,year,bottom_50,top_1,gap
russia,1850,0.1748,0.1637,-0.011099999999999999
russia,1880,0.1719,0.1619,-0.010000000000000009
russia,1900,0.1674,0.1799,0.012500000000000011
russia,1905,0.1506,0.1835,0.032899999999999985
russia,1910,0.1674,0.1799,0.012500000000000011
russia,1920,0.2936,0.041,-0.25260000000000005
russia,1928,0.2721,0.0376,-0.23450000000000001
russia,1930,0.2936,0.041,-0.25260000000000005
russia,1934,0.2573,0.0441,-0.21319999999999997
russia,1940,0.271,0.042,-0.229
russia,1950,0.2519,0.06,-0.19190000000000002
russia,1956,0.2262,0.0562,-0.17
russia,1959,0.2325,0.047,-0.1855
russia,1960,0.2537,0.05,-0.2037
russia,1961,0.2392,0.0461,-0.1931
russia,1964,0.2518,0.0443,-0.20750000000000002
russia,1966,0.2693,0.0418,-0.22749999999999998
russia,1968,0.2895,0.039,-0.2505
russia,1970,0.2964,0.048,-0.2484
russia,1972,0.2822,0.0406,-0.2416
russia,1976,0.2846,0.039,-0.2456
russia,1980,0.2884,0.0356,-0.25279999999999997
russia,1981,0.2869,0.0379,-0.249
russia,1982,0.2854,0.0401,-0.2453
russia,1983,0.2841,0.042,-0.2421
russia,1984,0.2829,0.0439,-0.239
russia,1985,0.2818,0.0456,-0.2362
russia,1986,0.2813,0.0471,-0.2342
russia,1987,0.2808,0.0487,-0.2321
russia,1988,0.2803,0.0501,-0.2302
russia,1989,0.2731,0.0562,-0.2169
russia,1990,0.2837,0.0745,-0.2092
russia,1991,0.2791,0.0852,-0.19390000000000002
russia,1992,0.2167,0.1013,-0.1154
russia,1993,0.203,0.1111,-0.09190000000000001
russia,1994,0.1553,0.1208,-0.03449999999999999
russia,1995,0.1417,0.1378,-0.003899999999999987
russia,1996,0.099,0.1616,0.06259999999999999
russia,1997,0.1262,0.1523,0.026099999999999984
russia,1998,0.1456,0.1489,0.0032999999999999974
russia,1999,0.1412,0.1845,0.043300000000000005
russia,2000,0.1343,0.2159,0.0816
russia,2001,0.1327,0.2453,0.11259999999999998
