year,state,state_name,income_mean_bottom,income_mean_upper,income_mean_top,share_bottom,share_upper,share_top,n_bottom_50,n_upper_49,n_top_1,total,total_agi
1999,CO,Colorado,13761.239405392069,68473.95861477058,886612.3446895859,0.1395692020811922,0.6805868552937359,0.1798439426250719,1014964.5,994665.21,20299.29,2029929.0,100073435.0
2000,CO,Colorado,14816.275407909176,73367.51645483673,1050361.4007155995,0.1375396463013415,0.6674500267903362,0.1950103269083223,1048140.0,1027177.2,20962.8,2096280.0,112909487.0
2001,CO,Colorado,15724.73837373054,72348.46538557592,816624.6596766955,0.1527285615642949,0.6886399793346599,0.1586314591010451,1054580.0,1033488.4,21091.6,2109160.0,108578215.0
2002,CO,Colorado,13355.586978441108,78035.10953668499,486305.4465833409,0.1341513633181324,0.7681538835369882,0.0976947531448792,1041120.5,1020298.09,20822.41,2082241.0,103649900.0
2003,CO,Colorado,13283.984444878788,79517.37440922427,491039.68183826783,0.1314831942725946,0.7713118351094452,0.09720497061796,1039522.0,1018731.56,20790.44,2079044.0,105024784.0
2004,CO,Colorado,20067.092288097007,79626.55803432505,533848.8707216455,0.1844773251207392,0.7173689311524003,0.0981537437268604,1055177.5,1034073.95,21103.55,2110355.0,114780200.0
2005,CO,Colorado,20008.366076616407,87244.50083320087,557259.490191767,0.1715201279412239,0.7329386182770813,0.0955412537816948,1080076.5,1058474.97,21601.53,2160153.0,125994344.0
2006,CO,Colorado,19915.41091029945,95181.50540424022,571129.0927829604,0.1598144058216785,0.748523255879914,0.0916623382984074,1114433.5,1092144.83,22288.67,2228867.0,138876098.0
2007,CO,Colorado,18449.80343402871,95464.64041816843,552360.5042209055,0.1499345747197757,0.7602889270226728,0.0897764982575515,1227580.5,1203028.89,24551.61,2455161.0,151056679.0
2008,CO,Colorado,19253.26237014549,94907.8386814366,499155.56107249256,0.1574959804755375,0.7608399430790789,0.0816640764453834,1170427.0,1147018.46,23408.54,2340854.0,143080084.0
2009,CO,Colorado,20855.20135911734,89204.61816363224,463323.72129804833,0.1774273501586434,0.7437373523824653,0.0788352974588913,1165987.0,1142667.26,23319.74,2331974.0,137052679.0
2010,CO,Colorado,14940.141598432014,87475.39123707413,985699.1262624894,0.1241081630100607,0.7121272474308974,0.163764589559042,1184976.5,1161276.97,23699.53,2369953.0,142647480.0
2011,CO,Colorado,14728.664583988922,89858.90463589874,1084064.8036630964,0.1183294363180918,0.7074839951464513,0.1741865685354568,1210283.0,1186077.34,24205.66,2420566.0,150645967.0
2012,CO,Colorado,15502.244517600971,93996.06944696169,1351769.186189341,0.1151266971015418,0.684096284482932,0.200777018415526,1225075.0,1200573.5,24501.5,2450150.0,164960975.0
