date,year,state,income
1992-12-31T00:00:00.000000,1992,SC,56720.0
1992-12-31T00:00:00.000000,1992,SD,54000.0
1992-12-31T00:00:00.000000,1992,TN,50010.0
1992-12-31T00:00:00.000000,1992,TX,57490.0
1992-12-31T00:00:00.000000,1992,UT,70440.0
1992-12-31T00:00:00.000000,1992,VT,67360.0
1992-12-31T00:00:00.000000,1992,VA,78560.0
1992-12-31T00:00:00.000000,1992,WA,69720.0
1992-12-31T00:00:00.000000,1992,WV,41690.0
1992-12-31T00:00:00.000000,1992,WI,68500.0
1992-12-31T00:00:00.000000,1992,WY,62130.0
1993-12-31T00:00:00.000000,1993,AL,50340.0
1993-12-31T00:00:00.000000,1993,AK,86160.0
1993-12-31T00:00:00.000000,1993,AZ,61230.0
1993-12-31T00:00:00.000000,1993,AR,46240.0
1993-12-31T00:00:00.000000,1993,CA,68380.0
1993-12-31T00:00:00.000000,1993,CO,69210.0
1993-12-31T00:00:00.000000,1993,CT,79300.0
1993-12-31T00:00:00.000000,1993,DE,72380.0
1993-12-31T00:00:00.000000,1993,District of Columbia,54800.0
1993-12-31T00:00:00.000000,1993,FL,57300.0
1993-12-31T00:00:00.000000,1993,GA,63540.0
1993-12-31T00:00:00.000000,1993,HI,85620.0
1993-12-31T00:00:00.000000,1993,ID,62230.0
1993-12-31T00:00:00.000000,1993,IL,65940.0
1993-12-31T00:00:00.000000,1993,IN,59150.0
1993-12-31T00:00:00.000000,1993,IA,57520.0
1993-12-31T00:00:00.000000,1993,KS,59750.0
1993-12-31T00:00:00.000000,1993,KY,48920.0
1993-12-31T00:00:00.000000,1993,LA,52810.0
1993-12-31T00:00:00.000000,1993,ME,55070.0
1993-12-31T00:00:00.000000,1993,MD,80150.0
1993-12-31T00:00:00.000000,1993,MA,74380.0
1993-12-31T00:00:00.000000,1993,MI,65550.0
1993-12-31T00:00:00.000000,1993,MN,67600.0
1993-12-31T00:00:00.000000,1993,MS,44540.0
1993-12-31T00:00:00.000000,1993,MO,57560.0
1993-12-31T00:00:00.000000,1993,MT,53120.0
1993-12-31T00:00:00.000000,1993,NE,62230.0
1993-12-31T00:00:00.000000,1993,NV,71880.0
1993-12-31T00:00:00.000000,1993,NH,76190.0
1993-12-31T00:00:00.000000,1993,NJ,81280.0
1993-12-31T00:00:00.000000,1993,NM,53700.0
1993-12-31T00:00:00.000000,1993,NY,63610.0
1993-12-31T00:00:00.000000,1993,NC,57840.0
1993-12-31T00:00:00.000000,1993,ND,56430.0
1993-12-31T00:00:00.000000,1993,OH,62790.0
1993-12-31T00:00:00.000000,1993,OK,52700.0
1993-12-31T00:00:00.000000,1993,OR,66500.0
1993-12-31T00:00:00.000000,1993,PA,62200.0
1993-12-31T00:00:00.000000,1993,RI,67250.0
1993-12-31T00:00:00.000000,1993,SC,52290.0
1993-12-31T00:00:00.000000,1993,SD,55670.0
1993-12-31T00:00:00.000000,1993,TN,50380.0
1993-12-31T00:00:00.000000,1993,TX,57650.0
1993-12-31T00:00:00.000000,1993,UT,71820.0
1993-12-31T00:00:00.000000,1993,VT,62340.0
1993-12-31T00:00:00.000000,1993,VA,73120.0
1993-12-31T00:00:00.000000,1993,WA,71560.0
1993-12-31T00:00:00.000000,1993,WV,45000.0
1993-12-31T00:00:00.000000,1993,WI,63750.0
1993-12-31T00:00:00.000000,1993,WY,59090.0
1994-12-31T00:00:00.000000,1994,AL,53410.0
1994-12-31T00:00:00.000000,1994,AK,89100.0
1994-12-31T00:00:00.000000,1994,AZ,61460.0
1994-12-31T00:00:00.000000,1994,AR,50210.0
