country,year,mobility,inequality_controlled,growth_controlled
Japan,1994,0.8241649484567959,0.9012960344455756,0.8170336924612951
Japan,1995,0.8183812894380937,0.9045354832886594,0.8070972298106183
Japan,1996,0.7956981059865753,0.8916017933729425,0.7999908261615389
Japan,1997,0.7770859983387317,0.8726882206835471,0.8029899777822087
Japan,1998,0.733514048785691,0.8403154438487598,0.7950884195201932
Japan,1999,0.704969338242168,0.8069461745887421,0.7952669516784534
Japan,2000,0.6912047668332277,0.7920917222738089,0.7918262020494056
Japan,2001,0.683358061337668,0.7803781346536177,0.7877267363534755
Japan,2002,0.6500950648799766,0.7566302644597991,0.7756412986483683
Japan,2003,0.6397592478764762,0.7382759802383098,0.7752970742344834
Japan,2004,0.600136576523729,0.7541541824214474,0.7397205914054605
Japan,2005,0.5959188851013993,0.7496995647547696,0.738221505707935
Japan,2006,0.5814203070088281,0.7457122955832883,0.7296323416812869
Japan,2007,0.576479923060958,0.7415997871956574,0.7277182263577514
Japan,2008,0.566800666214754,0.7167341644832814,0.7374252110941106
Japan,2009,0.5416741828442524,0.6627052029752623,0.7519435954464005
Japan,2010,0.545357571286209,0.6737615863007395,0.7480268459593491
Norway,1980,0.8822616320979362,0.805217993944958,0.8339220007584359
Norway,1981,0.8798215173170083,0.7960616345412048,0.837915400578344
Norway,1982,0.8737104709187784,0.7855971327629341,0.8403409988714172
Norway,1983,0.8762398683404402,0.7860056229855215,0.8441157728954323
Norway,1984,0.8833889738573327,0.7895885945194512,0.8476088954830012
Norway,1985,0.8910324795517961,0.8002756284781046,0.84706054084035
Norway,1986,0.8882354955372279,0.7921213511783487,0.8514975543659213
Norway,1987,0.8829039953671349,0.7856777911794136,0.8514961298883801
Norway,1988,0.8784404072257747,0.7782469580584153,0.8545762746745263
Norway,1989,0.8768274079645454,0.7680569073556338,0.8612918583079638
Norway,1990,0.8672506428939115,0.758232506645063,0.8592353648136628
Norway,1991,0.8574688069903226,0.7476628455257732,0.8587190122529217
Norway,1992,0.8559403782629487,0.75549576660302,0.8501560499978681
Norway,1993,0.8305210921914409,0.7502364360971889,0.8294027375693407
Norway,1994,0.8238519585495424,0.7573207595348248,0.8157206001533912
Norway,1995,0.8223092670927237,0.756118621878986,0.8152164888838984
Norway,1996,0.818673015877925,0.7619272980035194,0.805715980979272
Norway,1997,0.8098367826955402,0.766963090507141,0.7912062600672709
Norway,1998,0.8204096954303612,0.7653053798741198,0.8039313086754565
Norway,1999,0.8102251562034526,0.7585210102692177,0.8005895017657805
Norway,2000,0.7882270111062988,0.761493959950141,0.7748657124244291
Norway,2001,0.8226788467426064,0.7567851469791895,0.814869274785677
Norway,2002,0.793824778119449,0.7505030161000399,0.7922991009789726
Norway,2003,0.7709809617221083,0.7403661565293431,0.7804760563551627
Norway,2004,0.7466497244897549,0.7399623231916339,0.7568926023548145
Norway,2005,0.6964845647352265,0.7493688996458782,0.6961379648417044
Norway,2006,0.7943730684017809,0.745008464777349,0.798699779321185
Norway,2007,0.7872570413043108,0.7456328324786363,0.790923095420351
Norway,2008,0.8004092443817001,0.7420322596665139,0.8082419158701617
Norway,2009,0.7739783578844563,0.7182458736671524,0.8094079245506984
Norway,2010,0.7376161309365625,0.7021503670360177,0.7946091186450343
Norway,2011,0.7257127569182824,0.6978403457040759,0.7891913048570831
Sweden,1933,0.6350744921846846,0.5632025004970334,0.7326009237254065
Sweden,1934,0.6560377547592402,0.5839766302047286,0.7325329750496457
Sweden,1935,0.6819204373670307,0.5957797768404728,0.7463233675392212
Sweden,1936,0.6796392868110336,0.5903624766834338,0.7500411418233779
Sweden,1937,0.6934379777591636,0.6012805541649557,0.7527958146405911
Sweden,1938,0.7060883416503795,0.6123579800686957,0.7543051155621814
Sweden,1939,0.7262702156456545,0.6317595844883169,0.7546774928873239
Sweden,1940,0.6799547338974398,0.5887439328910636,0.754487458180007
Sweden,1941,0.6682539391606432,0.5784904453490122,0.7542976168399746
Sweden,1942,0.6757056012810483,0.5822510502885944,0.7547675398661025
Sweden,1943,0.6825872428679938,0.5831412408131535,0.7573044546540394
Sweden,1944,0.7079087458305826,0.5895551623433094,0.7722765137128966
Sweden,1945,0.7336540706686853,0.6018854991928257,0.7837740141666707
Sweden,1946,0.7446289576167493,0.6106721693337245,0.7861331377319165
Sweden,1947,0.7878749860712444,0.6520960922657923,0.7941993130892684
Sweden,1948,0.8091697513648944,0.6813501020175537,0.7894034713181471
Sweden,1949,0.7867256358073318,0.6691088819080862,0.7768947131052878
Sweden,1950,0.7701557542048463,0.6696304242590824,0.7581131721000971
Sweden,1951,0.8252670129689756,0.7150233739602756,0.7619672691660945
Sweden,1952,0.8269449547291512,0.7100942652527162,0.7698095880193798
Sweden,1953,0.8147853391562281,0.7025733140248143,0.7658304981483189
Sweden,1954,0.8270905564444746,0.7102733938940651,0.770584665427068
Sweden,1955,0.8382951131009313,0.7173493657156018,0.7753192550028214
Sweden,1956,0.8386767207732773,0.717243052811988,0.7764014849525332
